iter	Passed	Remaining
602	2243	1476
603	2247	1473
604	2250	1469
605	2253	1465
606	2257	1461
607	2261	1457
608	2264	1453
609	2267	1449
610	2270	1445
611	2274	1441
612	2278	1438
613	2282	1434
614	2285	1430
615	2288	1426
616	2292	1423
617	2296	1419
618	2299	1415
619	2302	1411
620	2306	1407
621	2311	1404
622	2314	1400
623	2318	1396
624	2322	1393
625	2326	1389
626	2329	1385
627	2332	1381
628	2336	1378
629	2341	1374
630	2345	1371
631	2348	1367
632	2352	1363
633	2356	1360
634	2361	1357
635	2364	1353
636	2367	1349
637	2373	1346
638	2377	1343
639	2381	1339
640	2384	1335
641	2389	1332
642	2394	1329
643	2397	1325
644	2401	1321
645	2405	1318
646	2410	1315
647	2414	1311
648	2417	1307
649	2421	1303
650	2425	1300
651	2429	1296
652	2434	1293
653	2439	1290
654	2443	1287
655	2448	1283
656	2452	1280
657	2457	1277
658	2463	1274
659	2469	1271
660	2473	1268
661	2478	1265
662	2482	1261
663	2487	1258
664	2493	1256
665	2497	1252
666	2503	1249
667	2509	1247
668	2517	1245
669	2523	1243
670	2527	1239
671	2531	1235
672	2535	1232
673	2538	1228
674	2542	1224
675	2546	1220
676	2550	1216
677	2553	1212
678	2556	1208
679	2560	1204
680	2563	1200
681	2566	1196
682	2570	1193
683	2574	1189
684	2577	1185
685	2580	1181
686	2584	1177
687	2588	1173
688	2591	1169
689	2594	1165
690	2598	1161
691	2602	1158
692	2606	1154
693	2610	1151
694	2614	1147
695	2619	1144
696	2624	1141
697	2628	1137
698	2635	1135
699	2640	1131
700	2643	1127
701	2648	1124
702	2653	1121
703	2657	1117
704	2661	1113
705	2669	1111
706	2672	1107
707	2676	1103
708	2680	1100
709	2686	1097
710	2690	1093
711	2693	1089
712	2702	1087
713	2705	1083
714	2709	1079
715	2714	1076
716	2721	1074
717	2724	1070
718	2729	1066
719	2735	1063
720	2738	1059
721	2742	1056
722	2746	1052
723	2752	1049
724	2755	1045
725	2760	1041
726	2770	1040
727	2773	1036
728	2777	1032
729	2784	1029
730	2791	1027
731	2795	1023
732	2799	1019
733	2805	1016
734	2811	1013
735	2816	1010
736	2824	1007
737	2831	1005
738	2837	1002
739	2846	1000
740	2849	996
741	2853	992
742	2857	988
743	2862	984
744	2866	981
745	2870	977
746	2873	973
747	2878	969
748	2882	966
749	2885	961
750	2889	957
751	2893	954
752	2897	950
753	2900	946
754	2903	942
755	2907	938
756	2913	935
757	2917	931
758	2920	927
759	2925	923
760	2930	920
761	2934	916
762	2937	912
763	2942	908
764	2947	905
765	2950	901
766	2954	897
767	2960	894
768	2964	890
769	2968	886
770	2972	882
771	2975	878
772	2978	874
773	2982	870
774	2985	866
775	2989	863
776	2993	859
777	2997	855
778	3001	851
779	3005	847
780	3009	844
781	3013	840
782	3017	836
783	3020	832
784	3024	828
785	3028	824
786	3032	820
787	3035	816
788	3040	813
789	3046	809
790	3050	805
791	3054	802
792	3062	799
793	3067	795
794	3073	792
795	3078	788
796	3081	784
797	3085	781
798	3090	777
799	3094	773
800	3098	769
801	3101	765
802	3105	761
803	3109	757
804	3113	754
805	3117	750
806	3121	746
807	3124	742
808	3128	738
809	3131	734
810	3134	730
811	3137	726
812	3141	722
813	3144	718
814	3147	714
815	3151	710
816	3154	706
817	3157	702
818	3160	698
819	3164	694
820	3167	690
821	3170	686
822	3174	682
823	3177	678
824	3180	674
825	3183	670
826	3187	666
827	3190	662
828	3193	658
829	3196	654
830	3199	650
831	3203	646
832	3206	642
833	3209	638
834	3213	634
835	3216	631
836	3220	627
837	3223	623
838	3226	619
839	3229	615
840	3233	611
841	3236	607
842	3239	603
843	3242	599
844	3246	595
845	3249	591
846	3252	587
847	3255	583
848	3258	579
849	3262	575
850	3265	571
851	3268	567
852	3272	563
853	3276	560
854	3279	556
855	3283	552
856	3286	548
857	3290	544
858	3293	540
859	3296	536
860	3300	532
861	3304	528
862	3307	525
863	3310	521
864	3314	517
865	3317	513
866	3321	509
867	3324	505
868	3329	501
869	3332	498
870	3336	494
871	3339	490
872	3343	486
873	3347	482
874	3350	478
875	3354	474
876	3357	470
877	3361	467
878	3364	463
879	3368	459
880	3372	455
881	3376	451
882	3379	447
883	3383	443
884	3386	440
885	3390	436
886	3393	432
887	3397	428
888	3400	424
889	3404	420
890	3407	416
891	3410	412
892	3413	409
893	3418	405
894	3421	401
895	3424	397
896	3428	393
897	3432	389
898	3436	386
899	3440	382
900	3443	378
901	3448	374
902	3452	370
903	3456	367
904	3460	363
905	3463	359
906	3467	355
907	3470	351
908	3474	347
909	3478	344
910	3482	340
911	3485	336
912	3489	332
913	3493	328
914	3497	324
915	3500	321
916	3504	317
917	3507	313
918	3511	309
919	3515	305
920	3518	301
921	3522	297
922	3526	294
923	3529	290
924	3533	286
925	3537	282
926	3540	278
927	3545	275
928	3548	271
929	3552	267
930	3556	263
931	3560	259
932	3563	255
933	3567	252
934	3570	248
935	3574	244
936	3578	240
937	3581	236
938	3585	232
939	3591	229
940	3594	225
941	3598	221
942	3601	217
943	3604	213
944	3608	209
945	3611	206
946	3614	202
947	3618	198
948	3621	194
949	3624	190
950	3628	186
951	3631	183
952	3635	179
953	3640	175
954	3643	171
955	3646	167
956	3650	164
957	3654	160
958	3657	156
959	3660	152
960	3664	148
961	3667	144
962	3671	141
963	3675	137
964	3678	133
965	3682	129
966	3686	125
967	3690	121
968	3693	118
969	3697	114
970	3700	110
971	3704	106
972	3708	102
973	3712	99
974	3716	95
975	3719	91
976	3724	87
977	3727	83
978	3730	80
979	3733	76
980	3736	72
981	3740	68
982	3744	64
983	3747	60
984	3751	57
985	3755	53
986	3758	49
987	3761	45
988	3765	41
989	3768	38
990	3771	34
991	3774	30
992	3779	26
993	3782	22
994	3785	19
995	3789	15
996	3792	11
997	3795	7
998	3799	3
999	3803	0
